Frekuensi,Nilai,Kategori
100,6717.683,sehat
150,6381.479,sehat
200,6088.284,sehat
250,5888.561,sehat
300,5719.454,sehat
350,5580.766,sehat
400,5461.791,sehat
450,5351.365,sehat
500,5263.846,sehat
550,5170.97,sehat
600,5102.63,sehat
650,5049.838,sehat
700,4982.631,sehat
750,4904.817,sehat
800,4866.823,sehat
850,4824.149,sehat
900,4796.656,sehat
950,4754.151,sehat
1000,4709.375,sehat
1500,4429.057,sehat
2000,4218.05,sehat
2500,4077.005,sehat
3000,3964.748,sehat
3500,3860.643,sehat
4000,3787.554,sehat
4500,3720.029,sehat
5000,3653.708,sehat
5500,3607.109,sehat
6000,3570.125,sehat
6500,3519.312,sehat
7000,3486.819,sehat
7500,3434.939,sehat
8000,3400.994,sehat
8500,3370.225,sehat
9000,3336.92,sehat
9500,3301.468,sehat
10000,3279.272,sehat
15000,3066.215,sehat
20000,2902.406,sehat
25000,2782.58,sehat
30000,2672.955,sehat
35000,2607.651,sehat
40000,2534.901,sehat
45000,2466.26,sehat
50000,2408.487,sehat
55000,2355.816,sehat
60000,2307.538,sehat
65000,2270.437,sehat
70000,2233.096,sehat
75000,2191.846,sehat
80000,2162.067,sehat
85000,2130.297,sehat
90000,2101.946,sehat
95000,2075.332,sehat
100000,2051.169,sehat
100,6826.816,sehat
150,6471.796,sehat
200,6186.033,sehat
250,5950.121,sehat
300,5795.513,sehat
350,5635.41,sehat
400,5508.041,sehat
450,5389.102,sehat
500,5294.512,sehat
550,5206.946,sehat
600,5143.428,sehat
650,5072.124,sehat
700,5001.808,sehat
750,4943.108,sehat
800,4884.639,sehat
850,4850.435,sehat
900,4814.666,sehat
950,4787.228,sehat
1000,4720.861,sehat
1500,4438.196,sehat
2000,4239.048,sehat
2500,4099.604,sehat
3000,3974.418,sehat
3500,3886.41,sehat
4000,3815.692,sehat
4500,3735.046,sehat
5000,3677.749,sehat
5500,3627.784,sehat
6000,3580.509,sehat
6500,3553.106,sehat
7000,3510.421,sehat
7500,3462.728,sehat
8000,3432.687,sehat
8500,3392.402,sehat
9000,3365.177,sehat
9500,3335.67,sehat
10000,3297.758,sehat
15000,3093.919,sehat
20000,2927.258,sehat
